Product Title,Product Price,Product Rating,Comments Count,Reviews Link,Label not found,Brand,Model name,Wireless carrier,Operating system,Cellular technology,Memory storage capacity,Connectivity technology,Colour,Screen size,Wireless network technology,Review - Author,Review - Rating,Review - Title,Review - Date,Review - Body,Review - Format,SIM card slot count,Front-photo sensor resolution,RAM memory installed size,Search,Connector type,Resolution,Special feature,Power source,Compatible devices
Apple iPhone 15 Plus (128 GB) - Blue,899..,4.6 out of 5,66 global ratings,https://www.amazon.co.uk/Apple-iPhone-15-Plus-128/product-reviews/B0CHX2DRNW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Value not found,Apple,IPhone 15 Plus,Unlocked for All Carriers,IOS 16,5G,128 GB,USB,Blue,6.7 Inches,Wi-Fi,Tele-Addict,5.0 out of 5 stars,"5.0 out of 5 stars







  
  
    The sweet spot in the current lineup
  
",Reviewed in the United Kingdom on 6 October 2023,"







  
  
    Finally rid of the notch and lightning connection. The reason I purchased this.Nicely boxed with tamper sealingComplete with a Braided usb-c lead accessory which is cool.Has the usual sim pin included in the UK.I wish the telecoms market would get their act together on eSIM.Colour, I had intended to get boring black but I chose a pastel Matt Green with the glossy apple logo to the rear. Chosen more due to the fact that the other colours had sold out but I actually like it now I’ve got it and its colour is concealed in my OtterBox Strada case anyway.On opening, the first thing you will notice is how lightweight the phone is and in my position only weighed down by the case weight.You will notice the dual cameras are very pronounced and the phone doesn’t lay flat on a surface.My case offers excellent protection for the lenses and allows it to lay flush.The iPhone has an aluminium casing with lovely rounded edges.Set up for my experience. This was the painful part.Transferring data from my iPhone 11 was not the easiest of tasks and I had to take an update to the fifteen before it would initiate the transfer process.However Once completed my new phone was near identical in appearance and usability apart from one or two apps that required setting up again.The Home Screen is large, bright and colourful is blessed with something called the Dynamic island which alters its size and shape dependent on the app that requires it.This is a great feature introduced to recent Apple phones and transforms the viewing experience when watching content playback of the likes  of Prime, Netflix, Disney etc.It is finally a really enjoyable viewing experience now the dreaded notch has gone.Some have mentioned a lower refresh rate on this model compared to the Pro models but is not a noticeable problem for me.Not just watching but the Sound quality even at low volumes is brilliant particularly when watching movies.Watch Blade Runner 2049 or rather listen to it on the Apple app is a totally immersive experience even without AirPods.Officer K’s visit to the Wallace Corporation’s Earth Headquarters has great depth and echo as he exchanges dialogue with the file clerk and Luv in its large halls.iOS 17 standby mode is slightly disappointing down to the exclusivity of the pro models only having an always on display. But this is the only real disappointment of this model.The ability to plug in USB devices and exchange data or charge or receive power from other devices is a real step forward.Battery life is phenomenal. End of!Doesn’t get hot when charging and lasts ages. Unless you have got it glued to your face you can expect a couple of days between charges for average use and when the battery is new of course.I have some older wireless chargers that are struggling a bit to charge through the mag safe case with the phone attached.This hasn’t been an issue before with my other phones. I haven’t got a new type mag safe charger yet and is not really a phone issueThe camera has several new features including automatically picking out portraits without specifically switching to portrait mode.It has a up to 48 mega pixel camera and with iOS 17 can produce bokeh effect portraits.There are some brilliant video modes including a live action sports type mode.4K or HD recording and frame rate adjustment.
  
",Size Name: 128 GBColour: GreenVerified Purchase,,,,iPhone,,,,,
Apple iPhone 15 Plus (128 GB) - Blue,899..,4.6 out of 5,66 global ratings,https://www.amazon.co.uk/Apple-iPhone-15-Plus-128/product-reviews/B0CHX2DRNW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Value not found,Apple,IPhone 15 Plus,Unlocked for All Carriers,IOS 16,5G,128 GB,USB,Blue,6.7 Inches,Wi-Fi,Mr. M. Warren,4.0 out of 5 stars,"4.0 out of 5 stars







  
  
    It comes with no charger, but with charging cable.
  
",Reviewed in the United Kingdom on 3 October 2023,"







  
  
    Received the iPhone 15 plus for a friend of mine only to find that apple have been stingy and not provided a charging plug but they supply the cable. It’s ironic that if you buy an iPad from apple you will get a charging plug but not for the iPhone which costs twice as much as an iPad. Obviously I have had to order a charging plug separately but legally apple are selling something that technically is not fit for purpose because if you don’t have any means of charging the iPhone then it’s practically no good to you. Secondly there was no mention of what is supplied with the iPhone so it could be classed as mis-selling. Is this apple trying to be revengeful against the EU who forced them to have a usb-c socket instead of an eight pin blade on their iPads and iPhones. I expect so!
  
",Size Name: 256 GBColour: GreenVerified Purchase,,,,iPhone,,,,,
Apple iPhone 15 Plus (128 GB) - Blue,899..,4.6 out of 5,66 global ratings,https://www.amazon.co.uk/Apple-iPhone-15-Plus-128/product-reviews/B0CHX2DRNW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Value not found,Apple,IPhone 15 Plus,Unlocked for All Carriers,IOS 16,5G,128 GB,USB,Blue,6.7 Inches,Wi-Fi,A reviewer,5.0 out of 5 stars,"5.0 out of 5 stars







  
  
    The dogs bo**ocks 👍
  
",Reviewed in the United Kingdom on 23 October 2023,"







  
  
    Brilliant; go for the plus, it gives you a lot of extra space and viewing of pictures.
  
",Size Name: 128 GBColour: BlueVerified Purchase,,,,iPhone,,,,,
Apple iPhone 15 Plus (128 GB) - Blue,899..,4.6 out of 5,66 global ratings,https://www.amazon.co.uk/Apple-iPhone-15-Plus-128/product-reviews/B0CHX2DRNW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Value not found,Apple,IPhone 15 Plus,Unlocked for All Carriers,IOS 16,5G,128 GB,USB,Blue,6.7 Inches,Wi-Fi,David Stalker,5.0 out of 5 stars,"5.0 out of 5 stars







  
  
    Nice 👍
  
",Reviewed in the United Kingdom on 18 October 2023,"







  
  
    Great piece of technology.
  
",Size Name: 256 GBColour: BlueVerified Purchase,,,,iPhone,,,,,
Apple iPhone 15 Plus (128 GB) - Blue,899..,4.6 out of 5,66 global ratings,https://www.amazon.co.uk/Apple-iPhone-15-Plus-128/product-reviews/B0CHX2DRNW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Value not found,Apple,IPhone 15 Plus,Unlocked for All Carriers,IOS 16,5G,128 GB,USB,Blue,6.7 Inches,Wi-Fi,M. ,5.0 out of 5 stars,"5.0 out of 5 stars







  
  
    Battery life is much better
  
",Reviewed in the United Kingdom on 9 October 2023,"







  
  
    Brighter in direct sunshine battery lasts longer very toughtyAll in all an excellent phone
  
",Size Name: 128 GBColour: GreenVerified Purchase,,,,iPhone,,,,,
Apple iPhone 15 Plus (128 GB) - Blue,899..,4.6 out of 5,66 global ratings,https://www.amazon.co.uk/Apple-iPhone-15-Plus-128/product-reviews/B0CHX2DRNW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Value not found,Apple,IPhone 15 Plus,Unlocked for All Carriers,IOS 16,5G,128 GB,USB,Blue,6.7 Inches,Wi-Fi,Francess Ingram,5.0 out of 5 stars,"5.0 out of 5 stars







  
  
    IM FALL IN LOVE WITH MY NEW PHONE!
  
",Reviewed in the United Kingdom on 24 September 2023,"







  
  
    Ngl but I love my new phone very new and nice phone! I used two phones for two hand from cex and I still wait for new our phone about time i touch finally our new phone! I feel fall in love my new phone! But pink more so pretty!!!
  
",Size Name: 128 GBColour: PinkVerified Purchase,,,,iPhone,,,,,
Apple iPhone 15 Plus (128 GB) - Blue,899..,4.6 out of 5,66 global ratings,https://www.amazon.co.uk/Apple-iPhone-15-Plus-128/product-reviews/B0CHX2DRNW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Value not found,Apple,IPhone 15 Plus,Unlocked for All Carriers,IOS 16,5G,128 GB,USB,Blue,6.7 Inches,Wi-Fi,Buchstabennudel,5.0 out of 5 stars,"







  
    Es lohnt sich vonseiten der Kamera
  
  
",Reviewed in Germany on 27 September 2023,"







  
    Wie jedes Jahr wollte ich mir nicht das neue iPhone kaufen und habs mir – wie jedes Jahr – doch gekauft.🤣🥳Dieses Mal wurde es die gelbe Plus Version. Ich hatte vorher das 14 plus.Allein von der Kamera her lohnt sich der Umstieg. Das 15+ macht Fotos wie früher nur die Pro Modelle. für mich als Wenigfotografierer lohnt sich ein Pro nicht.Das Plus hat gegenüber den normalen 15ern aber auch schon mehr Akkulaufzeit.Was für mich weiterhin Sinn macht, ist der USB C Anschluss, da ich im Besitz eines iPad Pro bin und auch im Besitz eines MacBook, so dass ich jetzt alles mit dem gleichen Kabel laden kann.Die Rückseite ist etwas matter und der Apfel nicht mehr silber auf der Rückseite. Das ist das einzige, was mir nicht so gut gefällt optisch. Aber das ist jammernnauf hohem Niveau.Von mir natürlich klare Kaufempfehlung 🤣🥳Kleiner Wermutstropfen an dem ganzen System. Update ist, dass bei der Apple Watch die Batterieanzeige und das anpingen vom unteren Bildschirmrand nicht mehr geht. Aber das hat mit dem Handy an sich nichts zu tun.
  
  
",Size Name: 128 GBColour: YellowVerified Purchase,,,,iPhone,,,,,
Apple iPhone 15 Plus (128 GB) - Blue,899..,4.6 out of 5,66 global ratings,https://www.amazon.co.uk/Apple-iPhone-15-Plus-128/product-reviews/B0CHX2DRNW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Value not found,Apple,IPhone 15 Plus,Unlocked for All Carriers,IOS 16,5G,128 GB,USB,Blue,6.7 Inches,Wi-Fi,Stone,5.0 out of 5 stars,"







  
    Magnifique !!!
  
  
",Reviewed in France on 28 October 2023,"







  
    C’est certainement le meilleur smartphone de l’année, il est tout simplement magnifique . Je suis très heureux de mon achat . Je recommande fortement !
  
  
",Size Name: 512 GBColour: BlackVerified Purchase,,,,iPhone,,,,,
Apple iPhone 15 Plus (128 GB) - Blue,899..,4.6 out of 5,66 global ratings,https://www.amazon.co.uk/Apple-iPhone-15-Plus-128/product-reviews/B0CHX2DRNW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Value not found,Apple,IPhone 15 Plus,Unlocked for All Carriers,IOS 16,5G,128 GB,USB,Blue,6.7 Inches,Wi-Fi,Jean-Marc 47,5.0 out of 5 stars,"







  
    Parfait
  
  
",Reviewed in France on 29 October 2023,"







  
    S’adapte parfaitement à mon iPhone 15+. Rien à dire.
  
  
",Size Name: 256 GBColour: BlueVerified Purchase,,,,iPhone,,,,,
Apple iPhone 15 Plus (128 GB) - Blue,899..,4.6 out of 5,66 global ratings,https://www.amazon.co.uk/Apple-iPhone-15-Plus-128/product-reviews/B0CHX2DRNW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Value not found,Apple,IPhone 15 Plus,Unlocked for All Carriers,IOS 16,5G,128 GB,USB,Blue,6.7 Inches,Wi-Fi,TS,5.0 out of 5 stars,"







  
  
    Super services
  
",Reviewed in Germany on 17 October 2023,"







  
  
    I ordered it on the day of the presentation, it was delivered on October 2. everything is very convenient. The phone itself is cool - much lighter than the previous one, which is really important for me.
  
",Size Name: 256 GBColour: PinkVerified Purchase,,,,iPhone,,,,,
